C#*OOP*پشتیبانی*bpms*طراحی فرآیند,4000000,Full-time
Sql Server*sql query*پشتیبانی نرم افزار*بانک‌های اطلاعاتی,Unknown,Full-time
Android*Java*SOLID,Unknown,Full-time
Front-end*ES6*ES7*typescript*Scrum*Redux,Unknown,Full-time&Remote
تدریس و آموزش*Flutter*برنامه نویسی موبایل,Unknown,Full-time&Remote
PHP*MySQL*RestFul API,Unknown,Full-time
Android*Android Studio*Object Oriented*OOP,Unknown,Full-time
Full-stack*Javascipt*Git*ReactJS*Java*spring framework,Unknown,Full-time
کارآموزی*پشتیبانی سایت,Unknown,Full-time
.NET*Full-stack*Git*C#*RestFul API*HTML*CSS*Javascript,Unknown,Full-time
C#*Javascript*Sql Server*jQuery*CSS3*HTML5,Unknown,Full-time
Python*Back-end*Django*postgresSQL*OOP*Git*TDD,Unknown,Full-time
Laravel*PHP*OOP*MVC*CSS*Javascript,6500000,Full-time
Full-stack*Django*React*Redux*MySQL,Unknown,Full-time
UI  UX*Adobe XD*Responsive Web Design,Unknown,Full-time
Back-end*.NET*C#*ASP.NET MVC*Entity Framework,4000000,Full-time
PHP*Laravel*MySQL*MongoDB*RESTful,Unknown,Full-time&Remote
IOS*Swift,Unknown,Full-time
React*ReactJS*CSS*HTML,Unknown,Full-time
Front-end*Javascript*CSS*HTML*jQuery*RestFul API*Bootstrap,Unknown,Full-time
Front-end*vue.js*HTML*CSS*Javascript,Unknown,Full-time&Remote
JavaScript*PHP*CSS3*MySQL,Unknown,Full-time
Back-end*C/C++*OOP*REST*SOAP*CSS,4000000,Full-time
C++*Qt*QML*socket*Linux,Unknown,Full-time
تحلیل سیستم*مستندسازی*Visual Paradigm,4000000,Full-time
Front-end*HTML5*CSS*Bootstrap,Unknown,Full-time
Front-end*CSS*HTML*RestFul API*webpack*Redux*Javascript,6500000,Full-time
RESTful*spring framework*Hibernate,Unknown,Full-time
ERP*زنجیره تامین*فرایندهای استقرار سیستم,Unknown,Full-time
bpms*مدل سازی فرآیندهای سازمانی با BPMS*bpm*BPMN2*Databases*ارائه گزارش*مستندسازی,Unknown,Full-time
Node.js*Javascript*ES6*express.js*OOP*RestFul API,9000000,Full-time
Wordpress*wordpress plugin*CSS*HTML*jQuery,4000000,Full-time
Front-end*HTML*CSS*RestFul API*OOP,9000000,Full-time
پشتیبانی نرم افزار*Sql Server*SQL*CSS*HTML,Unknown,Full-time
Front-end*ReactJS*Redux*typescript,Unknown,Full-time
Wordpress*طراحی سایت*Responsive*SEO,Unknown,Full-time
Back-end*Python*Git*Django*Go,Unknown,Part-time
Python*MySQL*MongoDB*OOP,Unknown,Full-time&Remote
Wordpress*CSS*HTML*Bootstrap*jQuery*Javascript*Front-end,Unknown,Full-time
Front-end*Javascript*CSS*HTML,Unknown,Full-time
کارآموزی*طراحی سایت,Unknown,Full-time
ASP.NET MVC*برنامه نویسی وب*SQL,Unknown,Full-time
IOS*Git*SCRUM*RxSwift*agile*Swift*RestFul API,Unknown,Full-time
Scrum Master*مستندسازی*Scrum,Unknown,Full-time
Back-end*.NET*Entity Framework,Unknown,Full-time
Wordpress*PHP*Bootstrap*CSS3*HTML5*jQuery,Unknown,Full-time
Scrum*agile*BDD,Unknown,Full-time
Back-end*#C*RestFul API*Sql Server*OOP*ASP.NET Core*JSON,Unknown,Full-time
.NET*C#.Net*VB.net,Unknown,Full-time
برنامه نویسی وب*ASP.NET Core*Sql Server*Angular*typescript,Unknown,Full-time
Front-end*typescript*Javascript*CSS*HTML*Angular,Unknown,Full-time
Front-end*Javascript*typescript*CSS3,Unknown,Full-time
مستند سازی نرم افزار,Unknown,Full-time
Java*Kotlin*Android SDK*Git,Unknown,Full-time
Java*J2EE*orm*Hibernate*spring*Java Core,Unknown,Full-time
کارآموزی*Laravel,Unknown,Full-time
Unity*Unity Game Engine,Unknown,Full-time
Front-end*React*CSS3*HTML5*SASS,9000000,Full-time
IOS*Swift*UI/UX*Git*Xcode,Unknown,Full-time
C#*Javascript*HTML*CSS,6500000,Full-time
PHP*Laravel*RestFul API*MySQL,Unknown,Full-time
Front-end*HTML*CSS*Bootstrap*Javascript,Unknown,Full-time
Back-end*PHP*MySQL*Javascript,Unknown,Full-time
Python*AngularJS*Django,Unknown,Full-time
Front-end*HTML*CSS*jQuery,Unknown,Full-time
Front-end*vue.js*RestFul API*CSS*HTML,Unknown,Full-time
هوش تجاری*bi*SQL*انبارداده,Unknown,Full-time
ASP.NET Core*EF*LINQ*jQuery,Unknown,Full-time
برنامه نویسی وب*Javascript*CSS*HTML*React,Unknown,Full-time
معماری نرم افزار*Scalability*SOLID,Unknown,Full-time
Front-end*Javascript*CSS*jQuery*HTML*vue.js,3000000,Full-time
Back-end*CI/CD*gitflow*Node.js,Unknown,Full-time
Front-end*ReactJS*RestFul API,Unknown,Full-time
Android*Kotlin*RestFul API,Unknown,Full-time
C#*توسعه نرم افزار*SQL*cross platform,Unknown,Full-time
تولید نرم افزار*C#*SQL*SCRUM,Unknown,Full-time
طراحی ریسپانسیو*Wordpress*plugin,Unknown,Full-time&Remote
Front-end*HTML*CSS*Angular,Unknown,Full-time
HTML*CSS*Angular,Unknown,Full-time
C#*.NET*ASP.NET*RestFul API,4000000,Full-time
کارآموزی*.NET,2000000,Full-time
Back-end*Nodejs*Javascript*Git*MongoDB*OOP,Unknown,Full-time
Front-end*vue.js*Nuxt.js*HTML*CSS,9000000,Full-time
طراحی وب*HTML5*CSS3*Bootstrap*jQuery,Unknown,Part-time
Android*native*Reactive Programming*Android SDK*Java*Android Jetpack,Unknown,Full-time
Front-end*Bootstrap4*jQuery*WordPress,Unknown,Full-time
Full-stack*.NET*C#*T-SQL,Unknown,Full-time
تحلیل داده*SQL*C#.Net,Unknown,Full-time
SEO*طراحی سایت*Wordpress,Unknown,Full-time&Remote
تولید محتوا*SEO,Unknown,Full-time
UI  UX*jQuery*js6*CSS*HTML,Unknown,Full-time
سرپرستی*توسعه نرم افزار*وب,Unknown,Full-time
Flutter,Unknown,Full-time
Front-end*SASS*HTML*CSS*Javascript,Unknown,Full-time
GOOGLE ADWORDS*GOOGLE ANALYTICS*مدیریت,6500000,Full-time
برنامه نویسی وب*Back-end*PHP,Unknown,Full-time
MySQL*QA*agile*Scrum,Unknown,Full-time
ASP.NET MVC*EF*RestFul API,Unknown,Full-time
JavaEE*jpa*EJB*Hibernate*Javascript*CSS*HTML,Unknown,Full-time
UI  UX*typescript*angular2*RestFul API*Photoshop*Illustrator,Unknown,Full-time
Node.js*express.js*MongoDB,Unknown,Full-time
ReactJS*React*git*Javascript*CSS*HTML*Redux*JSON,Unknown,Full-time
MySQL*PHP*Back-end*MVC,Unknown,Full-time
Front-end*HTML*CSS*jQuery*Javascript,Unknown,Full-time
Back-end*C#*Sql Server*REST API,Unknown,Full-time
Wordpress*CMS*PHP*jQuery*Javascript*HTML5*CSS3,4000000,Full-time
Back-end*شبکه*سرور*پایگاه داده*Android*Java,Unknown,Full-time
Flutter*API*Web Services*REST API*JSON*UI  UX,Unknown,Full-time&Remote
MVC*برنامه نویسی وب*OOP*jQuery*Javascript*Bootstrap*CSS3*HTML5,Unknown,Full-time
مدیریت پروژه*Scrum*agile,Unknown,Full-time
React*Javascript*HTML5*CSS3,Unknown,Full-time
Java*Spring Boot*Hibernate*git,Unknown,Full-time
طراحی سایت*وردپرس*HTML*CSS,Unknown,Part-time
Microsoft CRM*.NET*ASP.NET*Microsoft dynamics 365*CRM,Unknown,Full-time
Wordpress*طراحی سایت*HTML*CSS*woocommerce,Unknown,Full-time
Front-end*Design Patterns*Angular 2*React*vue.js*HTML5*CSS3*UI/UX,9000000,Full-time
Full-stack*.NET*C#*ASP.NET MVC*ASP.NET Core*HTML5*CSS3,Unknown,Full-time
Javascript*Pl/sql*SQL,Unknown,Full-time
Front-end*Javascript*jQuery,Unknown,Full-time
هوش مصنوعی*tensorflow*Python*scikit learn,Unknown,Full-time
.NET Framework*MS SQL Server*ASP.NET*#C*jQuery*MVC*Angular.js,Unknown,Full-time
Angular*CSS*HTML*Bootstrap,Unknown,Full-time
Full-stack*Laravel*MySQL*Javascript*jQuery,Unknown,Full-time&Remote
Front-end*Angular*HTML*CSS*Bootstrap,Unknown,Full-time
Python*Data science*OOP,9000000,Full-time
Product Design*figma*Photoshop*Adobe XD,9000000,Full-time
Node.js*Python*OOP*OOD,9000000,Full-time
C++*C*MySQL*NoSQL*MongoDB*Java*Javascript*Python,9000000,Full-time
.NET*C#.Net*ASP.NET*Sql Server*TSQL*Javascript*jQuery*HTML*CSS,Unknown,Full-time
Android*Android Studio*Gradle,3000000,Full-time
Data science*Machine learning*Python,9000000,Full-time
